date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2026-01-30,4131.99,4117.95,4152.85,4064.78,804342746,1269855689027.90,2.12,-0.96,-40.03,1.68
2026-02-02,4079.71,4015.75,4103.41,4013.66,732953698,1163532654161.80,2.18,-2.48,-102.20,1.53
2026-02-03,4043.91,4067.74,4069.42,4002.78,637684249,1110720213016.30,1.66,1.29,51.99,1.33
2026-02-04,4064.68,4102.20,4104.62,4062.68,674254244,1063544769928.30,1.03,0.85,34.46,1.41
2026-02-05,4075.03,4075.92,4088.90,4048.94,596722236,946988891270.60,0.97,-0.64,-26.28,1.24
2026-02-06,4040.30,4065.58,4095.03,4029.97,556709801,898655032959.00,1.60,-0.25,-10.34,1.16
2026-02-09,4103.54,4123.09,4123.16,4093.06,572632582,949726335965.80,0.74,1.41,57.51,1.19
2026-02-10,4127.77,4128.37,4134.34,4117.56,524620969,882201747043.80,0.41,0.13,5.28,1.09
2026-02-11,4124.43,4131.99,4142.56,4122.43,500685278,822607547250.80,0.49,0.09,3.62,1.04
2026-02-12,4136.99,4134.02,4140.59,4124.13,529370116,897955034838.80,0.40,0.05,2.03,1.10
2026-02-13,4115.92,4082.07,4123.84,4079.77,500799472,846808337462.10,1.07,-1.26,-51.95,1.04
2026-02-24,4129.13,4117.41,4131.55,4105.94,566322249,938611375999.80,0.63,0.87,35.34,1.18
2026-02-25,4123.78,4147.23,4167.84,4122.70,724787214,1085969561174.10,1.10,0.72,29.82,1.51
2026-02-26,4151.07,4146.63,4152.19,4127.15,651702826,1067198717434.10,0.60,-0.01,-0.60,1.36
2026-02-27,4128.90,4162.88,4166.23,4128.36,682047646,1072367831609.80,0.91,0.39,16.25,1.42
2026-03-02,4151.80,4182.59,4188.77,4131.37,861579218,1345892469395.20,1.38,0.47,19.71,1.80
2026-03-03,4189.41,4122.68,4197.23,4116.01,921139170,1425790202336.20,1.94,-1.43,-59.91,1.92
2026-03-04,4087.63,4082.47,4106.04,4055.41,765169531,1113081986077.50,1.23,-0.98,-40.21,1.59
2026-03-05,4109.78,4108.57,4125.62,4090.62,689746535,1068043734805.00,0.86,0.64,26.10,1.44
2026-03-06,4085.90,4124.19,4129.46,4085.90,646765760,978805927053.90,1.06,0.38,15.62,1.35
2026-03-09,4098.70,4096.60,4106.53,4052.55,797803556,1194106193208.40,1.31,-0.67,-27.59,1.66
